idiom_id,headword,hanja,meaning,level_min
182,점입가경,漸入佳境,1. 들어갈수록 점점 재미가 있음. 2. 시간이 지날수록 하는 짓이나 몰골이 더욱 꼴불견임을 비유적으로 이르는 말.,7
183,조변석개,朝變夕改,"아침저녁으로 뜯어고친다는 뜻으로, 계획이나 결정 따위를 일관성이 없이 자주 고침을 이르는 말.",10
188,중구난방,衆口難防,"뭇사람의 말을 막기가 어렵다는 뜻으로, 막기 어려울 정도로 여럿이 마구 지껄임을 이르는 말. ‘마구 떠듦’으로 순화.",5
190,지기지우,知己之友,자기의 속마음을 참되게 알아주는 친구.,5
191,진퇴양난,進退兩難,이러지도 저러지도 못하는 어려운 처지.,5
192,진퇴유곡,進退維谷,이러지도 저러지도 못하고 꼼짝할 수 없는 궁지.,9
193,천려일실,千慮一失,"천 번 생각에 한 번 실수라는 뜻으로, 슬기로운 사람이라도 여러 가지 생각 가운데에는 잘못되는 것이 있을 수 있음을 이르는 말.",10
195,천양지차,天壤之差,하늘과 땅 사이와 같이 엄청난 차이.,7
196,천우신조,天佑神助,하늘이 돕고 신령이 도움. 또는 그런 일.,9
199,청천벽력,靑天霹靂,"맑게 갠 하늘에서 치는 날벼락이라는 뜻으로, 뜻밖에 일어난 큰 변고나 사건 을 비유적으로 이르는 말.",5
200,청출어람,靑出於藍,"쪽에서 뽑아낸 푸른 물감이 쪽보다 더 푸르다는 뜻으로, 제자나 후배가 스승이나 선배보다 나 음을 비유적으로 이르는 말.",5
201,초록동색,草綠同色,같은 처지(處地)의 사람과 어울리거나 기우는 것.,7
203,침소봉대,針小棒大,작은 일을 크게 불리어 떠벌림.,7
205,토사구팽,兎死狗烹,"토끼가 죽으면 토끼를 잡던 사냥개도 필요 없게 되어 주인에게 삶아 먹히게 된다는 뜻으로, 필 요할 때는 쓰고 필요 없을 때는 야박하게 버리는 경우를 이르는 말.",9
207,표리부동,表裏不同,마음이 음흉하고 불량하여 겉과 속이 다름.,7
209,풍수지탄,風樹之嘆,효도를 다하지 못한 채 어버이를 여읜 자식의 슬픔을 이르 는 말.,10
210,풍찬노숙,風餐露宿,"바람을 먹고 이슬에 잠잔다는 뜻으로, 객지에서 많은 고생을 겪음을 이르는 말.",9
212,함구무언,緘口無言,입을 다물고 아무 말도 하지 아니함.,7
214,허장성세,虛張聲勢,실속은 없으면서 큰소리치거나 허세를 부림.,7
215,혈혈단신,孑孑單身,의지할 곳이 없는 외로운 홀몸.,7
216,호가호위,狐假虎威,남의 권세를 빌려 위세를 부림.,7
217,호구지책,糊口之策,가난한 살림에서 그저 겨우 먹고살아 가는 방책.,9
219,혼비백산,魂飛魄散,"혼백이 어지러이 흩어진다는 뜻으로, 몹시 놀라 넋을 잃음을 이르는 말.",5
220,환골탈태,換骨奪胎,사람이 보다 나은 방향으로 변하여 전혀 딴사람처럼 됨.,7
222,후생가외,後生可畏,"젊은 후학들을 두려워할 만하다는 뜻으로, 후진들이 선배들보다 젊고 기력이 좋아, 학문을 닦음에 따라 큰 인물이 될 수 있으므로 가히 두렵다는 말.",10
223,후안무치,厚顔無恥,뻔뻔스러워 부끄러움이 없음.,9
224,후회막급,後悔莫及,이미 잘못된 뒤에 아무리 후회하여도 다시 어찌할 수가 없음.,5
