doc_id,level,quarter,week,book_title,review_status,n_vocab,n_ox,n_qa,n_essay,b1_unknown,b2_empty,b3_label_as_question,b4_dup_order,b5_font_broken,w1_table_noconfig,w2_rows_int,w3_reading_type_odd,w4_reading_type_null,w5_missing_parts,w6_no_cover_message,n_images,n_images_linked,grade,blockers
L6-Q1-W09,L6,1분기(고전),9,돈 키호테,pending,4,5,12,1,4,0,0,5,8,1,0,0,12,0,0,3,0,unusable,B1;B4
L6-Q1-W10,L6,1분기(고전),10,레 미제라블,pending,4,5,8,1,0,0,0,0,8,0,0,0,8,0,0,3,0,needs_review,
L6-Q1-W11,L6,1분기(고전),11,레 미제라블,pending,4,5,8,1,1,0,0,1,3,0,0,0,8,0,0,3,0,unusable,B1;B4
L6-Q1-W12,L6,1분기(고전),12,레 미제라블,pending,4,5,8,1,0,0,0,0,5,0,0,0,8,0,0,2,0,needs_review,
L6-Q2-W06,L6,2분기(탐구),6,꼬리에 꼬리를 무는 자원 전쟁 이야기,pending,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,needs_review,
L6-Q3-W01,L6,3분기(문학),1,국어 교과서 작품 읽기 : 중1 소설,pending,0,0,8,1,0,0,0,0,1,0,0,0,8,2,0,1,0,needs_review,
L6-Q3-W02,L6,3분기(문학),2,국어 교과서 작품 읽기 : 중1 소설,pending,0,0,7,1,0,0,0,0,3,0,0,0,7,2,0,2,0,needs_review,
L6-Q3-W03,L6,3분기(문학),3,운수 좋은 날,pending,4,5,9,1,1,0,0,1,2,1,0,0,0,0,0,1,0,unusable,B1;B4
L6-Q3-W04,L6,3분기(문학),4,수난이대,pending,4,5,9,1,1,0,0,1,9,1,0,0,0,0,0,5,0,unusable,B1;B4
L6-Q3-W05,L6,3분기(문학),5,아몬드,pending,4,5,7,1,1,0,0,0,2,0,0,0,7,0,0,1,0,unusable,B1
L6-Q3-W06,L6,3분기(문학),6,아몬드,pending,4,5,6,1,0,0,0,0,1,0,0,0,6,0,0,1,0,needs_review,
L6-Q3-W07,L6,3분기(문학),7,꿈 하늘,pending,4,0,11,1,2,0,0,1,7,0,0,0,11,1,0,5,0,unusable,B1;B4
L6-Q3-W08,L6,3분기(문학),8,전우치전,pending,4,5,6,1,0,0,0,0,6,1,0,0,6,0,0,1,0,needs_review,
L6-Q3-W09,L6,3분기(문학),9,최척전,pending,4,5,10,1,2,0,0,2,2,1,0,0,0,0,0,1,0,unusable,B1;B4
L6-Q3-W10,L6,3분기(문학),10,금수회의록,pending,0,0,7,1,0,0,0,0,4,1,0,0,7,2,0,1,0,needs_review,
L6-Q3-W11,L6,3분기(문학),11,의자를 신고 달리는,pending,0,0,7,1,0,0,0,0,9,0,0,0,7,2,0,1,0,needs_review,
L6-Q3-W12,L6,3분기(문학),12,들꽃 - 나태주 대표 시선집,pending,0,0,7,1,0,0,0,0,13,0,0,0,7,2,0,3,0,needs_review,
L6-Q3-W13,L6,3분기(문학),13,"국어 교과서 작품 읽기 : 중1 수필, 비문학",pending,4,5,7,1,0,0,0,0,3,1,0,0,7,0,0,1,0,needs_review,
L6-Q4-W01,L6,4분기(인문예술),1,곰브리치 세계사,pending,4,5,8,1,1,0,0,0,7,1,0,0,0,0,0,4,0,unusable,B1
L6-Q4-W02,L6,4분기(인문예술),2,곰브리치 세계사,pending,4,5,8,1,1,0,0,0,5,1,0,0,0,0,0,1,0,unusable,B1
L6-Q4-W03,L6,4분기(인문예술),3,곰브리치 세계사,pending,4,5,7,1,0,0,0,0,9,0,0,0,0,0,0,4,0,ready,
L6-Q4-W04,L6,4분기(인문예술),4,곰브리치 세계사,pending,4,5,7,1,0,0,0,0,8,0,0,0,0,0,0,5,0,ready,
L6-Q4-W06,L6,4분기(인문예술),6,한눈에 반한 세계 미술관,pending,4,5,8,1,1,0,0,0,6,2,0,0,0,0,0,7,0,unusable,B1
L6-Q4-W07,L6,4분기(인문예술),7,한눈에 반한 세계 미술관,pending,4,5,8,1,3,0,0,0,7,2,0,0,0,0,0,6,0,unusable,B1
L6-Q4-W08,L6,4분기(인문예술),8,인공지능 윤리를 부탁해,pending,4,5,9,1,0,0,0,0,4,1,0,0,0,0,0,2,0,needs_review,
L6-Q4-W09,L6,4분기(인문예술),9,인공지능 윤리를 부탁해,pending,4,4,9,1,0,0,0,0,2,2,0,0,0,0,0,5,0,needs_review,
L6-Q4-W10,L6,4분기(인문예술),10,위대하고 어리석은 인간의 이성,pending,4,5,7,1,0,0,0,0,4,1,0,0,0,0,0,2,0,needs_review,
L6-Q4-W11,L6,4분기(인문예술),11,위대하고 어리석은 인간의 이성,pending,4,5,10,1,2,0,0,0,7,0,0,0,0,0,0,3,0,unusable,B1
L6-Q4-W12,L6,4분기(인문예술),12,10대를 위한 논어 수업,pending,4,5,8,1,0,0,0,0,0,2,0,0,0,0,0,1,0,needs_review,
L6-Q4-W13,L6,4분기(인문예술),13,10대를 위한 논어 수업,pending,4,5,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,ready,
L7-Q1-W08,L7,1분기(고전),8,젊은 예술가의 초상,pending,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,needs_review,
L7-Q1-W09,L7,1분기(고전),9,젊은 예술가의 초상 (연장),pending,0,0,7,1,0,0,0,0,7,1,0,0,7,2,0,3,0,needs_review,
L7-Q2-W04,L7,2분기(탐구),4,하리하라의 과학배틀,pending,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,8,0,needs_review,
L7-Q2-W05,L7,2분기(탐구),5,하리하라의 과학배틀 (연장),pending,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,needs_review,
L7-Q2-W07,L7,2분기(탐구),7,거짓말쟁이의 뇌를 해부한다면 (연장),pending,0,0,3,1,2,0,0,0,2,0,0,0,0,2,0,0,0,unusable,B1
L7-Q3-W01,L7,3분기(문학),1,국어 교과서 작품 읽기 : 중2 소설,pending,0,0,8,1,0,0,0,0,7,0,0,0,8,2,0,1,0,needs_review,
L7-Q3-W02,L7,3분기(문학),2,국어 교과서 작품 읽기 : 중2 소설 (연장),pending,0,0,8,1,0,0,0,0,6,1,0,0,8,2,0,1,0,needs_review,
L7-Q3-W03,L7,3분기(문학),3,나목 도둑맞은 가난,pending,0,0,7,1,0,0,0,0,3,1,0,7,0,2,0,2,0,needs_review,
L7-Q3-W07,L7,3분기(문학),7,체리새우: 비밀글입니다,pending,0,0,6,1,0,0,0,0,1,0,0,0,6,2,0,2,0,needs_review,
L7-Q4-W01,L7,4분기(인문예술),1,청소년을 위한 주제로 보는 조선왕조실록,pending,0,0,8,1,1,0,0,0,8,0,0,0,8,2,0,3,0,unusable,B1
